2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1.719,-10.777,-6.723,-4.276,-0.168,-3.334,-2.055,3.892,-2.718,-9.797,-2.225,5.002,3.839,-13.078,-9.427,-0.998,-2.877,-3.122,-16.784,-4.222,-2.996,2.399,5.79
1.723,-10.845,-6.391,-5.375,-0.392,-3.517,-1.838,3.512,-3.589,-8.825,-2.66,4.249,3.393,-12.948,-10.651,-1.326,-2.387,-2.745,-16.782,-4.387,-2.719,2.834,4.436
1.45,-10.573,-5.897,-6.154,-0.824,-3.03,-1.172,2.502,-3.204,-8.181,-2.756,4.625,2.969,-11.026,-11.03,-0.561,-2.928,-2.262,-17.014,-4.603,-2.038,3.047,3.439
2.756,-8.204,-3.839,-5.832,-0.827,-2.23,-0.234,2.662,-3.732,-6.727,-2.763,5.094,3.558,-8.904,-10.613,-0.208,-0.95,-0.561,-15.202,-4.151,-0.441,3.296,3.618
3.606,-6.623,-1.401,-5.56,0.084,-0.754,1.426,3.474,-3.542,-5.279,-3.076,5.981,3.399,-7.037,-10.169,0.128,0.126,0.803,-13.412,-2.876,0.907,3.487,3.735
5.115,-5.938,-0.387,-5.604,0.633,0.364,2.186,4.087,-3.635,-3.595,-2.46,6.755,3.738,-5.932,-9.697,0.631,1.24,2.032,-12.048,-1.289,2.723,3.677,3.905
5.995,-4.728,1.125,-4.981,1.373,1.078,3.1,4.465,-3.166,-2.19,-2.515,7.253,4.224,-4.859,-9.358,1.285,2.113,2.708,-10.709,-0.387,3.509,4.448,4.996
6.862,-3.941,2.673,-3.895,2.243,1.908,3.874,4.588,-3.692,-1.559,-2.548,8.359,4.775,-4.082,-9.646,1.741,2.295,2.833,-8.839,-0.044,4.518,5.113,5.274
7.028,-3.7,3.111,-4.002,1.544,1.62,3.447,5.067,-3.767,-0.955,-2.589,7.952,5.158,-3.238,-9.629,1.39,2.667,3.534,-8.674,0.598,5.239,5.946,5.312
7.872,-3.769,2.388,-4.233,1.928,1.288,3.061,5.007,-4.704,-1.117,-3.082,7.253,5.214,-4.41,-9.467,1.888,2.445,2.833,-9.511,-0.219,5.344,5.4,4.462
7.11,-4.66,1.723,-4.505,1.881,1.121,2.673,3.679,-5.777,-1.501,-2.894,6.843,4.657,-5.037,-9.236,1.61,1.72,2.174,-9.254,-0.811,4.623,4.948,4.243
8.205,-5.005,0.388,-4.393,2.324,0.883,2.612,2.95,-6.39,-1.391,-2.958,5.896,3.048,-5.059,-8.59,0.392,-0.272,1.997,-8.833,-1.381,3.561,3.501,4.229
7.728,-6.106,-0.55,-5.109,2.496,1.869,1.778,2.389,-8.282,-1.995,-3.282,5.518,2.443,-6.222,-9.572,-0.111,-0.993,1.554,-8.598,-2.112,2.677,2.445,2.728
7.496,-7.502,-1.001,-5.546,1.995,1.989,1.444,1.775,-9.874,-2.5,-3.789,5.013,2.057,-7.385,-9.904,-0.554,-1.053,1.169,-7.771,-2.719,2.628,1.838,2.009
7.299,-9.001,-1.335,-5.318,1.772,2.61,0.835,1.053,-10.775,-2.838,-4.721,3.57,1.172,-9.083,-10.901,-1.773,-1.547,0.671,-8.001,-2.172,3.279,1.446,1.168
7.269,-9.059,-0.78,-4.828,1.552,2.878,0.886,0.391,-11.488,-3.502,-5.671,2.891,1.058,-10.241,-11.633,-2.33,-1.166,1.221,-8.45,-1.895,3.108,0.777,-0.055
7.808,-8.943,-0.889,-5.042,1.497,2.662,0.995,-0.49,-11.39,-3.281,-6.338,2.054,0.223,-11.531,-11.862,-3.275,-1.385,0.666,-9.009,-2.055,2.721,0.112,-0.774
8.099,-9.442,-1.275,-5.055,2.046,4.305,0.721,-0.886,-11.507,-3.395,-6.283,1.053,-0.108,-12.854,-12.254,-3.776,-1.773,0.614,-9.285,-2.112,2.724,-0.662,-1.268
8.811,-9.33,-1.992,-4.275,1.881,4.221,0.447,-1.549,-11.999,-3.452,-6.118,-0.053,-0.002,-13.529,-13.522,-4.882,-1.879,1.163,-9.777,-1.892,3.06,-1.22,-1.662
9.236,-9.831,-2.276,-4.441,1.772,5.005,0.224,-1.33,-12.445,-3.338,-6.95,-0.554,-0.834,-14.757,-13.585,-5.216,-1.89,1.219,-10.333,-1.119,3.618,-1.882,-2.605
8.881,-10.443,-3.276,-4.556,1.771,5.128,0.057,-1.663,-13.324,-2.839,-7.006,-0.501,-1.281,-15.58,-13.8,-5.602,-2.223,1.334,-10.331,-1.232,3.836,-1.941,-2.79
8.011,-10.507,-3.891,-4.954,1.435,5.893,0.276,-0.896,-14.162,-2.401,-7.229,-0.886,-1.609,-16.002,-14.184,-5.558,-1.999,1.556,-10.111,-0.894,3.455,-2.053,-3.553
7.75,-10.446,-4.001,-5.452,1.276,6.327,0.331,-1.054,-14.444,-2.787,-8.056,-1.165,-1.946,-16.314,-14.504,-6.169,-2.046,1.506,-10.489,-0.615,3.238,-1.947,-3.608
